"filename", "language", "PHP", "Markdown", "JSON", "Properties", "PowerShell", "Docker", "HTML", "JavaScript", "YAML", "JSON with Comments", "TypeScript", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\package.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\public\cv\README.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\public\manifest.json", "JSON", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\public\sw.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 3, 27
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\public\test-api.html", "HTML", 0, 0, 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 26, 227
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\public\test-env.html", "HTML", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\public\test-preview.html", "HTML", 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 1, 17, 151
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\setup-xampp.ps1", "PowerShell", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 15
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 5, 6, 61
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\Portfolio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 2, 31
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\admin\AdminAuth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 53, 25, 278
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\admin\AdminDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1727, 109, 170, 2006
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\admin\AdminRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 3, 6, 33
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\admin\CustomPDFViewer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 227, 13, 26, 266
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\admin\pdf-viewer.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 3, 7, 46
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\About.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 2, 7, 97
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\AnimatedSkillsChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\CVDownload.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 209, 14, 21, 244
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\CalendlyWidget.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 2, 14, 137
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\Certifications.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 4, 12, 154
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\Contact.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 286, 10, 33, 329
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\Education.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\Experience.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 2, 8, 61
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 4, 10, 115
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\Hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 12, 16, 161
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\InteractiveMap.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\Interests.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 1, 7, 105
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\LanguageSwitch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 5, 31
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\Notes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 795, 52, 78, 925
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\Projects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 4, 9, 135
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\QRCodeGenerator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 218, 9, 25, 252
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\Skills.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 2, 8, 138
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\Statistics.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\ThemeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 1, 8, 89
